sku,nombre,marca,variante,capacidad,envase,presentacion,unidadOPack,gtin,disponible,imageUrlActual,tipoActual,imageUrlPreparada,tipoPreparado,fuente,sourceType
coca-cola-original-pet-1500ml,Coca-Cola Original,Coca-Cola,Original,1500 ml,botella-pet,Unidad,UNIDAD,7790895000430,true,assets/products/coca-cola-original-pet-1500ml-5781315ce9f8f02f-43114ca6977868de.webp,REAL,assets/products/coca-cola-original-pet-1500ml-5781315ce9f8f02f-43114ca6977868de.webp,REAL,https://ardiaprod.vtexassets.com/arquivos/ids/339743/Gaseosa-CocaCola-Sabor-Original-15-Lt-_2.jpg?v=638689887747170000,proveedor_aprobado
coca-cola-original-pet-500ml,Coca-Cola Original,Coca-Cola,500 ml,500 ml,Botella PET,Unidad,UNIDAD,7790895000782,false,,FALLBACK,,FALLBACK,,
coca-cola-zero-2250ml,Coca-Cola Zero,Coca-Cola,Sin azúcar,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/coca-cola-zero-2250ml-4ce84243eb65d14a-309bbcc731498df7.webp,REAL,assets/products/coca-cola-zero-2250ml-4ce84243eb65d14a-309bbcc731498df7.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/6/-/6-render_2.25l_z.png,fabricante
coca-cola-zero-botella-pet-500-ml-pack-x12,Coca-Cola Zero,Coca-Cola,Botella PET · 500 ml · Pack x12,500 ml,Botella PET,Pack x12,PACK,,true,assets/products/coca-cola-zero-botella-pet-500-ml-pack-x12-ab4d9e31abe096e0-7a626dec1b48f442.webp,REAL,assets/products/coca-cola-zero-botella-pet-500-ml-pack-x12-ab4d9e31abe096e0-7a626dec1b48f442.webp,REAL,https://andinacocacolaar.vteximg.com.br/arquivos/ids/156461/101816.jpg?v=639063400798100000,fabricante
coca-cola-zero-lata-354ml,Coca-Cola Zero,Coca-Cola,Sin azúcar,354 ml,lata,Unidad,UNIDAD,,true,assets/products/coca-cola-zero-lata-354ml-4d1955a80c87ab0e-87f477f474494b33.webp,REAL,assets/products/coca-cola-zero-lata-354ml-4d1955a80c87ab0e-87f477f474494b33.webp,REAL,https://www.espaciovino.com.ar/media/default/0001/73/thumb_72209_default_big.jpeg,proveedor_aprobado
coca-cola-zero-pet-1500ml,Coca-Cola Zero,Coca-Cola,Sin azúcar,1500 ml,botella-pet,Unidad,UNIDAD,7790895067556,false,,FALLBACK,,FALLBACK,,
coca-cola-zero-pet-500ml,Coca-Cola Zero,Coca-Cola,500 ml,500 ml,Botella PET,Unidad,UNIDAD,7790895067532,false,,FALLBACK,,FALLBACK,,
corona-extra-botella-330ml,Corona Extra,Corona,Lager,330 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,assets/products/corona-extra-botella-330ml-2d424290c3ea844f-c4cbad6dbef6e094.webp,REAL,https://carrefourar.vteximg.com.br/arquivos/ids/794008/7792798003709_01.jpg?v=639046411603700000,proveedor_aprobado
dada-caramel-750ml,Dada Caramel,Dada,Caramel,750 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
dr-lemon-vodka-pomelo-lata-473ml,Dr. Lemon Vodka Pomelo,Dr. Lemon,Vodka pomelo,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
fanta-naranja-2250ml,Fanta Naranja,Fanta,Naranja,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/fanta-naranja-2250ml-797064494952a9a1-9ef1596448794ce7.webp,REAL,assets/products/fanta-naranja-2250ml-797064494952a9a1-9ef1596448794ce7.webp,REAL,https://jumboargentina.vtexassets.com/arquivos/ids/893206/Gaseosa-Naranja-2-25-Lts-Fanta-2-248227.jpg?v=639009777706070000,proveedor_aprobado
fanta-naranja-botella-pet-1500-ml-pack-x6,Fanta Naranja,Fanta,Botella PET · 1500 ml · Pack x6,1500 ml,Botella PET,Pack x6,PACK,,false,,FALLBACK,assets/products/fanta-naranja-botella-pet-1500-ml-pack-x6-ddcfc29d89d6d01d-e41698f0e9b8788b.webp,REAL,https://andinacocacolaar.vteximg.com.br/arquivos/ids/156347/101113.jpg?v=638857652534800000,fabricante
fanta-naranja-pet-1500ml,Fanta Naranja,Fanta,"1,5 L",1500 ml,Botella PET,Unidad,UNIDAD,7790895000454,false,,FALLBACK,,FALLBACK,,
fernet-1882-750ml,Fernet 1882,1882,Original,750 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
fernet-branca-1000ml,Fernet Branca,Fernet Branca,Original,1000 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,assets/products/fernet-branca-1000ml-0c51f3c2c52ad488-c64a1ebaa0000237.webp,REAL,https://acdn-us.mitiendanube.com/stores/006/757/969/products/31-6637cf8d3cf6b8487617750533556878-1024-1024.webp,fabricante
gancia-americano-450ml,Gancia Americano,Gancia,Americano,450 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
