sku,external_id,origen,marca,producto,variante,capacidad_ml,envase,units_per_pack,sold_as_pack,alcohol,disponible,precio,image_status,source_status,confidence,fuente_tipo,fuente_titulo,fuente_url
red-bull-original-250ml,red-bull-original-250ml,produccion,Red Bull,Red Bull,Original,250,lata,1,false,false,true,2800,SIN_IMAGEN,SIN_FUENTE,,,,
red-bull-sin-azucar-250ml,red-bull-sin-azucar-250ml,produccion,Red Bull,Red Bull Sugarfree,Sin azúcar,250,lata,1,false,false,true,2800,SIN_IMAGEN,SIN_FUENTE,,,,
seven-up-original-2000ml,seven-up-original-2000ml,produccion,7UP,7UP,Original,2000,botella-pet,1,false,false,true,3800,SIN_IMAGEN,SIN_FUENTE,,,,
soda-manaos-sifon-2000ml,soda-manaos-sifon-2000ml,produccion,Manaos,Soda Manaos,Soda,2000,sifon,1,false,false,true,1750,SIN_IMAGEN,SIN_FUENTE,,,,
speed-original-473ml,speed-original-473ml,produccion,Speed,Speed,Original,473,lata,1,false,false,true,2850,SIN_IMAGEN,SIN_FUENTE,,,,
speed-zero-473ml,speed-zero-473ml,produccion,Speed,Speed Zero,Sin azúcar,473,lata,1,false,false,true,2850,SIN_IMAGEN,SIN_FUENTE,,,,
sprite-botella-pet-500-ml-pack-x12,sprite-botella-pet-500-ml-pack-x12,produccion,Sprite,Sprite,Botella PET · 500 ml · Pack x12,500,botella-pet,12,true,false,true,17100,PUBLICADA,HIGH,HIGH,fabricante,Sprite 500ml x12,https://tienda.coca-cola.com.ar/sprite-500ml-12-7790895000829/p
sprite-original-2250ml,sprite-original-2250ml,produccion,Sprite,Sprite,Original,2250,botella-pet,1,false,false,true,5900,SIN_IMAGEN,SIN_CANDIDATO,,,,
sprite-original-lata-354ml,sprite-original-lata-354ml,produccion,Sprite,Sprite,Original,354,lata,1,false,false,true,1800,SIN_IMAGEN,SIN_CANDIDATO,,,,
sprite-original-pet-1500ml,sprite-original-pet-1500ml,gondola-retail-final,Sprite,Sprite,Original,1500,botella-pet,1,false,false,false,4990,SIN_IMAGEN,SIN_CANDIDATO,,,,
sprite-pet-500ml,sprite-pet-500ml,retail-unidades,Sprite,Sprite,500 ml,500,botella-pet,1,false,false,false,2290,SIN_IMAGEN,SIN_CANDIDATO,,,,
sprite-zero-2250ml,sprite-zero-2250ml,produccion,Sprite,Sprite Zero,Sin azúcar,2250,botella-pet,1,false,false,true,5900,SIN_IMAGEN,SIN_CANDIDATO,,,,
sprite-zero-pet-1500ml,sprite-zero-pet-1500ml,gondola-retail-final,Sprite,Sprite Zero,Sin azúcar,1500,botella-pet,1,false,false,false,4990,SIN_IMAGEN,SIN_CANDIDATO,,,,
stella-artois-lata-473ml,stella-artois-lata-473ml,gondola-neuquen,Stella Artois,Stella Artois,Lager,473,lata,1,false,true,false,3600,SIN_IMAGEN,SIN_FUENTE,,,,
stella-artois-lata-473ml-pack-6,stella-artois-lata-473ml-pack-6,gondola-retail-final,Stella Artois,Stella Artois,Lager,473,lata,6,true,true,false,29490,SIN_IMAGEN,SIN_FUENTE,,,,
toro-tinto-1000ml,toro-tinto-1000ml,gondola-neuquen,Toro,Toro,Tinto,1000,botella,1,false,true,false,2300,SIN_IMAGEN,SIN_CANDIDATO,,,,
toro-viejo-clasico-tinto-750ml,toro-viejo-clasico-tinto-750ml,gondola-neuquen,Toro Viejo,Toro Viejo Clásico,Tinto,750,botella,1,false,true,false,2550,SIN_IMAGEN,SIN_CANDIDATO,,,,
trapiche-origen-malbec-750ml,trapiche-origen-malbec-750ml,gondola-neuquen,Trapiche,Trapiche Origen Malbec,Malbec,750,botella,1,false,true,false,6150,SIN_IMAGEN,HIGH,HIGH,distribuidor_oficial,ORIGEN BY TRAPICHE MALBEC 1X750ml,https://tienda.coca-cola.com.ar/origen-by-trapiche-malbec-1x750ml/p
villa-del-sur-sin-gas-600ml,villa-del-sur-sin-gas-600ml,produccion,Villa del Sur,Villa del Sur,Sin gas,600,botella-pet,1,false,false,true,1700,SIN_IMAGEN,SIN_FUENTE,,,,
villa-del-sur-sin-gas-pet-2250ml,villa-del-sur-sin-gas-pet-2250ml,gondola-retail-final,Villa del Sur,Villa del Sur,Sin gas,2250,botella-pet,1,false,false,false,2890,SIN_IMAGEN,SIN_FUENTE,,,,
villavicencio-con-gas-500ml,villavicencio-con-gas-500ml,produccion,Villavicencio,Villavicencio,Con gas,500,botella-pet,1,false,false,true,1900,SIN_IMAGEN,SIN_FUENTE,,,,
villavicencio-con-gas-pet-1500ml,villavicencio-con-gas-pet-1500ml,gondola-retail-final,Villavicencio,Villavicencio,Con gas,1500,botella-pet,1,false,false,false,3490,SIN_IMAGEN,SIN_FUENTE,,,,
villavicencio-sin-gas-1500ml,villavicencio-sin-gas-1500ml,produccion,Villavicencio,Villavicencio,Sin gas,1500,botella-pet,1,false,false,true,2400,SIN_IMAGEN,SIN_FUENTE,,,,
vodka-skyy-700ml,vodka-skyy-700ml,gondola-neuquen,Skyy,Skyy Vodka,Original,700,botella,1,false,true,false,9500,SIN_IMAGEN,SIN_CANDIDATO,,,,
