sku,catalog_status,image_status,rights_status,price_status,publication_status,priority
"levite-manzana-2250ml-local","approved","verified","pending_review","pending","blocked","P0"
"gancia-americano-950ml-local","approved","verified","pending_review","pending","blocked","P0"
"martini-bianco-1000ml-local","approved","verified","pending_review","pending","blocked","P0"
"monster-ultra-473ml-local","approved","verified","pending_review","pending","blocked","P0"
"fernet-branca-edicion-mundial-750ml","approved","verified","pending_review","pending","blocked","P0"
"fernet-vittone-1000ml","approved","verified","pending_review","pending","blocked","P1"
"budweiser-lata-473ml-pack-6-local","approved","verified","pending_review","pending","blocked","P0"
"alamos-malbec-750ml-local","approved","verified","pending_review","pending","blocked","P1"
"norton-malbec-750ml-local","approved","verified","pending_review","pending","blocked","P1"
"rutini-cabernet-malbec-750ml-local","approved","verified","pending_review","pending","blocked","P1"
"trumpeter-malbec-750ml-local","approved","verified","pending_review","pending","blocked","P1"
