sku,identity_status,image_status,rights_status,price_status,catalog_status,publication_status,ready,reason
"bombay-sapphire-750ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"bosque-nativo-500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"smirnoff-700ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"johnnie-walker-red-label-750ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"hielo-cristal-4kg","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"coca-cola-original-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"coca-cola-sin-azucar-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"sprite-sin-azucar-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"7up-original-2000ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"bonaqua-sin-gas-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"manaos-lima-limon-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"manaos-naranja-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"pepsi-black-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"schweppes-tonica-354ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"levite-manzana-2250ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"gancia-americano-950ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"martini-bianco-1000ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"monster-ultra-473ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"fernet-branca-edicion-mundial-750ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"fernet-vittone-1000ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"budweiser-lata-473ml-pack-6-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"alamos-malbec-750ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"norton-malbec-750ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"rutini-cabernet-malbec-750ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"trumpeter-malbec-750ml-local","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
