product_name,brand,variant,presentation,capacity,pack_count,category,source_url,image_source_url,source_domain,source_title,source_type,retrieved_at,commercial_status,identity_status,rights_status,notes,sha256
"Patagonia Lager del Sur","Patagonia","Lager","Botella · 730 ml · Unidad","730","1","cervezas","https://www.jumbo.com.ar/cerveza-patagonia-lager-del-sur-730cc-2/p","https://jumboargentina.vtexassets.com/arquivos/ids/907137/Cerveza-Patagonia-Lager-Del-Sur-730cc-1-1028502.jpg?v=639124043958000000","jumbo.com.ar","Cerveza Lager del Sur 730 Cc Patagonia - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","534c31ed67673862596f9be92d960cdc27c6c8ccd32b2ede4511ce57e6a065b2"
"Heineken","Heineken","Lager","Lata · 710 ml · Unidad","710","1","cervezas","https://www.jumbo.com.ar/cerveza-heineken-rubia-710cc/p","https://jumboargentina.vtexassets.com/arquivos/ids/579473/Cerveza-Heineken-Premiun-710-Cc-1-781941.jpg?v=637215672769700000","jumbo.com.ar","Cerveza Rubia 710 Cc Heineken - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","c94745725623d9e5708b20a6c3e8755749c92a52ad61d0bca022cf7752d74b2d"
"Stella Artois","Stella Artois","Sin alcohol","Botella · 330 ml · Unidad","330","1","cervezas","https://www.jumbo.com.ar/cerveza-stella-artois-sin-alcohol-330-ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/890564/Cerveza-Stella-Artois-Sin-Alcohol-330-Ml-1-1011014.jpg?v=639123766326200000","jumbo.com.ar","Cerveza Rubia Sin Alcohol 330 Cc Stella Artois - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","419b82de001ee9246e238084e96af2571c6ba3112937b8b597cc81ff7a494a42"
"Corona Extra","Corona","Lager","Botella · 330 ml · Unidad","330","1","cervezas","https://www.jumbo.com.ar/cerveza-rubia-330ml-corona-2/p","https://jumboargentina.vtexassets.com/arquivos/ids/890503/Cerveza-Rubia-330ml-Corona-1-23252.jpg?v=639140661868430000","jumbo.com.ar","Cerveza Rubia 330 Cc Corona - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","edc4976eb3b1567afcf5cb00a5b16a9d651fec0bd2381f05efc4ed7f0d2b2d16"
"Imperial Golden","Imperial","Golden","Lata · 473 ml · Unidad","473","1","cervezas","https://www.jumbo.com.ar/cerveza-imperial-golden-473cc/p","https://jumboargentina.vtexassets.com/arquivos/ids/891202/7793147571689.jpg?v=638996950720870000","jumbo.com.ar","Cerveza Golden 473 Cc Imperial - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","5ca04c5fdf439ea9469c9c5145219fbc2538a2a70b91e2002076ae0fe57802c2"
"Brahma Chopp","Brahma","Rubia","Botella retornable · 1 L · Unidad","1000","1","cervezas","https://www.jumbo.com.ar/cerveza-brahma-chopp-rubia-1lt-ret/p","https://jumboargentina.vtexassets.com/arquivos/ids/890499/Cerveza-Brahma-Chopp-Rubia-1lt-Ret-1-18524.jpg?v=638987206047170000","jumbo.com.ar","Cerveza Brahma Chopp Rubia 1lt Ret - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","dc49063744606c4b239181f95060029f102b44f6a5e80477820596b25f892bd9"
"Amstel Lager","Amstel","Lager","Lata · 473 ml · Unidad","473","1","cervezas","https://www.jumbo.com.ar/cerveza-amstel-lager-473-cc/p","https://jumboargentina.vtexassets.com/arquivos/ids/831379/12440520009.jpg?v=638599352913000000","jumbo.com.ar","Cerveza Lager 473 Cc Amstel - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","d2012f9a70970c63ecde79e51d6ba74592e971f3f5d830440fda531d41ca8e8d"
"Rutini Malbec","Rutini","Malbec","Botella · 750 ml · Unidad","750","1","vinos","https://www.jumbo.com.ar/vino-tinto-rutini-malbec-750-cc/p","https://jumboargentina.vtexassets.com/arquivos/ids/177129/Vino-Rutini-Malbec-Vino-Rutini-Malbec--Botella-750-Cc-1-2964.jpg?v=636383344150670000","jumbo.com.ar","Vino Tinto Rutini Malbec 750 Cc - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","9104a64ea89c9b727bfceeea75b4b5680206fb7504a2f59abbc0941c79371925"
"Trapiche Reserva Malbec","Trapiche","Malbec","Botella · 750 ml · Unidad","750","1","vinos","https://www.jumbo.com.ar/vino-trapiche-reserva-malbec-750cc/p","https://jumboargentina.vtexassets.com/arquivos/ids/581181/Vino-Tinto-Trapiche-Reserva-Malbec-750-Cc-1-239861.jpg?v=637225176719970000","jumbo.com.ar","Vino Tinto Malbec 750 Cc Trapiche - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","af08382512881582597ba7d3a46f745b217b572be6fb3e6de7fb21289d8705d9"
"Fin del Mundo","Fin del Mundo","Cabernet Franc","Botella · 750 ml · Unidad","750","1","vinos","https://www.jumbo.com.ar/vino-fin-cabernet-franc-750cc-2/p","https://jumboargentina.vtexassets.com/arquivos/ids/773379/Vino-Fin-Cabernet-Franc-750cc-1-947120.jpg?v=638140810242900000","jumbo.com.ar","vino FIN cabernet franc 750cc - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","b67365177d30ba367c1c1552c40075aa792feb1a32f77f776aa88a5f6f45f9b8"
"Chandon Délice","Chandon","Délice","Botella · 750 ml · Unidad","750","1","espumantes","https://www.jumbo.com.ar/espumante-chandon-delice-750-ml-3/p","https://jumboargentina.vtexassets.com/arquivos/ids/793064/Espumante-Chandon-Delice-750ml-1-861819.jpg?v=638301297742430000","jumbo.com.ar","Espumante Chandon Délice 750 Ml - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","f16ce0b7661a7a9f473880413eddb9033c7cab9d3eb2ecffa2bb231077172acb"
"Tanqueray Dry","Tanqueray","London Dry","Botella · 700 ml · Unidad","700","1","gin","https://www.jumbo.com.ar/gin-tanqueray-dry-700-ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/791071/Gin-Tanqueray-Dry-700-Ml-1-875755.jpg?v=638283369906400000","jumbo.com.ar","Gin Tanqueray Dry 700 Ml - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","9192f7251b222012eac804a1bb76be85c88ded76a3e817eebe6b31e925147cf8"
"Bombay Sapphire","Bombay Sapphire","London Dry","Botella · 750 ml · Unidad","750","1","gin","https://www.jumbo.com.ar/gin-bombay-750-ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/793738/Gin-Bombay-750-Gin-Bombay-750-Ml-2-31356.jpg?v=638303997636830000","jumbo.com.ar","Gin Bombay 750 Ml - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","62a5326fc4d01e7ee5016026b9c3954317f136021982f72aa6cbc45d2a4b0b7c"
"Bosque Nativo","Bosque","Nativo","Botella · 500 ml · Unidad","500","1","gin","https://www.jumbo.com.ar/gin-bosque-nativo-botella-500mlx1-2/p","https://jumboargentina.vtexassets.com/arquivos/ids/675789/Gin-Bosque-Bot500cc-1-880471.jpg?v=637722635195600000","jumbo.com.ar","GIN BOSQUE NATIVO BOTELLA 500MLX1 - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","19a1f808373ae19c3873886d77ed166d782afb8c665996c89e4dc8e481943956"
"Johnnie Walker Red Label","Johnnie Walker","Red Label","Botella · 750 ml · Unidad","750","1","whisky","https://www.jumbo.com.ar/whisky-johnnie-walker-red-label-botella-750ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/791050/Whisky-Johnnie-Walker-Red-Label-Botella-750ml-1-3355.jpg?v=638283369813670000","jumbo.com.ar","Whisky Red Label 750 Ml Johnnie Walker - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","2ec16fe9e4e2b6d64cac914570f777a5dd8f5c34943d90a8c49c91f8184de801"
"Hielo Cristal","Cristal","Bolsa de hielo","Bolsa · 4 kg · Unidad","4000","1","complementos","https://www.jumbo.com.ar/hielo-cristal-bolsa-4-kg/p","https://jumboargentina.vtexassets.com/arquivos/ids/840454/Hielo-Cristal-Bolsa-4-Kg-1-19310.jpg?v=638651237838630000","jumbo.com.ar","Hielo Cristal 4 Kg - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","9927abf61d9f6abc95907c216915aec12316ff7584bdc9cb37c9939b5a64e1a1"
