sku,name,presentation,pack_sku,pack_price,units_per_pack,division_del_pack_NO_USAR,motivo
coca-cola-original-pet-1500ml,Coca-Cola Original,"Botella PET · 1,5 L · Unidad",coca-cola-original-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
coca-cola-original-pet-500ml,Coca-Cola Original,Botella PET · 500 ml · Unidad,coca-cola-original-pet-500ml-pack-12,17100,12,1425,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
coca-cola-zero-pet-1500ml,Coca-Cola Zero,"Botella PET · 1,5 L · Unidad",coca-cola-zero-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
coca-cola-zero-pet-500ml,Coca-Cola Zero,Botella PET · 500 ml · Unidad,coca-cola-zero-pet-500ml-pack-12,17100,12,1425,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
fanta-naranja-pet-1500ml,Fanta Naranja,"Botella PET · 1,5 L · Unidad",fanta-naranja-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
schweppes-citrus-pet-1500ml,Schweppes Citrus,"Botella PET · 1,5 L · Unidad",schweppes-citrus-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
schweppes-tonica-pet-1500ml,Schweppes Tónica,"Botella PET · 1,5 L · Unidad",schweppes-tonica-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
sprite-original-pet-1500ml,Sprite Original,"Botella PET · 1,5 L · Unidad",sprite-original-pet-1500ml-pack-6,19999,6,3333,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
sprite-original-pet-500ml,Sprite Original,Botella PET · 500 ml · Unidad,sprite-original-pet-500ml-pack-12,17100,12,1425,El precio unitario incluye el margen minorista que fija el local; no es el pack dividido.
